Altium Designer Pick and Place Locations
E:\OneDrive\EAGLE\projects\Sep-Nov_21\LIME_SDR_USB(update)\plug\1v4\Project Outputs for LimeSDR-USB_1v4\Pick Place for LimeSDR-USB_1v4.csv

========================================================================================================================
File Design Information:

Date:       11/11/21
Time:       00:15
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"R213","5.1K, 1%","TopLayer","FileName=E:\OneDrive\EAGLE\projects\Sep-Nov_21\LIME_SDR_USB(update)\plug\1v4\Libraries\LimeMicroAltiumLib_pcbLib.PcbLib","274.606","994.496","180",""
"R214","5.1K, 1%","TopLayer","FileName=E:\OneDrive\EAGLE\projects\Sep-Nov_21\LIME_SDR_USB(update)\plug\1v4\Libraries\LimeMicroAltiumLib_pcbLib.PcbLib","258.968","1292.323","0",""
"J","UJ31-CH-3-MSMT-TR-67","TopLayer","CUI_UJ31-CH-3-MSMT-TR-67","35.925","1125.000","270","Type C, USB 3.1 Gen 2, 5 A, Right Angle, Mid Mount _SMT_,  Waterproof, USB Receptacle"
"R151","0R","BottomLayer","RES0402","1196.850","1952.756","270",""
"J18","U.FL/MMCX","TopLayer","MMCX_UFL_conn_u","613.189","1929.134","180",""
"FR53","600R, 2A","TopLayer","RES0805","807.087","1781.693","90",""
"R196","44.2k, 1%","BottomLayer","RES0402","1805.119","251.969","90",""
"R181","44.2k, 1%","BottomLayer","RES0402","745.079","337.598","0",""
"R42","0R","TopLayer","RES0402","2346.457","1526.575","90",""
"C165","100nF, 16V","BottomLayer","CAP0402","2046.260","737.205","270",""
"R45","0R","TopLayer","RES0402","2217.520","1526.575","90",""
"R44","0R","TopLayer","RES0402","2260.827","1526.575","90",""
"R43","0R","TopLayer","RES0402","2304.134","1526.574","90",""
"C333","1uF, 10V","TopLayer","CAP0402","829.724","1880.906","90",""
"R10","10k, 1%","BottomLayer","RES0402","1966.535","769.685","180",""
"R9","49.9R, 1%","BottomLayer","RES0402","2660.433","919.291","180",""
"R8","49.9R, 1%","BottomLayer","RES0402","2779.528","921.260","180",""
"R7","49.9R, 1%","BottomLayer","RES0402","2748.032","964.567","180",""
"R6","49.9R, 1%","BottomLayer","RES0402","2779.528","877.953","180",""
"R5","10k, 1%","BottomLayer","RES0402","1398.622","755.905","180",""
"R4","10k, 1%","BottomLayer","RES0402","1911.417","866.142","0",""
"R149","0R","TopLayer","RES0402","1008.858","1750.000","180",""
"R122","0R","BottomLayer","RES0402","147.638","1490.158","180",""
"R109","2.21k, 1%","BottomLayer","RES0402","2187.992","1004.921","90",""
"R65","0R","BottomLayer","RES0402","2378.937","1114.173","270",""
"R113","0R","TopLayer","RES0402","995.079","429.134","270",""
"R112","0R","BottomLayer","RES0402","665.354","113.189","90",""
"R111","0R","BottomLayer","RES0402","1063.976","835.630","270",""
"R110","0R","BottomLayer","RES0402","727.362","127.953","90",""
"C126","220uF, 4V","BottomLayer","CAP1206","1221.457","1634.842","45",""
"C245","220uF, 4V","BottomLayer","CAP1206","1482.284","2237.205","180",""
"R166","0R","BottomLayer","RES0402","645.669","270.669","270",""
"C272","100nF, 16V","BottomLayer","CAP0402","400.591","277.559","180",""
"C373","100nF, 16V","BottomLayer","CAP0402","441.929","182.087","90",""
"C372","100nF, 16V","BottomLayer","CAP0402","599.409","437.992","90",""
"R130","10k, 1%","BottomLayer","RES0402","838.583","249.016","90",""
"C136","100nF, 16V","BottomLayer","CAP0402","1965.551","1319.882","0",""
"C135","1uF, 10V","BottomLayer","CAP0402","1414.370","1398.622","0",""
"C129","4.7uF, 6.3V","BottomLayer","CAP0402","1453.740","1321.850","180",""
"C133","10uF, 6.3V","BottomLayer","CAP0603","1297.244","1293.307","0",""
"C132","100uF, 6.3V","BottomLayer","CAP1206","1590.551","941.929","180",""
"C119","100nF, 16V","BottomLayer","CAP0402","1573.819","1124.016","180",""
"VT7","NDS331N","BottomLayer","SOT23-3","2076.771","2237.204","0","NDS331N"
"R210","23.2k, 1%","TopLayer","RES0402","652.559","1804.134","0",""
"R209","39k, 1%","TopLayer","RES0402","676.181","1741.142","90",""
